factor,layer_1,layer_2,layer_3,layer_4,layer_5
0.5,1.3788015800714493,0.7680621075630188,0.5927856788039207,0.5039941976964474,0.46436922922730445
1.0,1.305761540979147,0.8273145635426045,0.710322003364563,0.6518479021638632,0.5593827161565423
2.0,1.0633589458465575,0.7148643299937248,0.6518481078743935,0.5956231188774109,0.48703629165887835
4.0,1.0731511145830155,0.6361578890681266,0.6603031319379806,0.6061687782406807,0.5686226224899292
