epoch,layer_1,layer_2,layer_3,layer_4,layer_5
0,0.5379468202590942,0.7510441541671753,1.1089609861373901,1.2712664604187012,1.5942562818527222
1,0.572199821472168,0.8026119470596313,1.1784589290618896,1.35818612575531,1.7008205652236938
2,0.5651484727859497,0.7960525155067444,1.1759237051010132,1.3804453611373901,1.7390475273132324
3,0.5834473371505737,0.8121721148490906,1.1796919107437134,1.3749537467956543,1.7295905351638794
4,0.5598511099815369,0.7780910730361938,1.1438708305358887,1.3380279541015625,1.6987941265106201
5,0.5632196664810181,0.7846623659133911,1.1456365585327148,1.3537745475769043,1.720389485359192
6,0.5729317665100098,0.7994288802146912,1.1619454622268677,1.3673529624938965,1.750443458557129
7,0.5743108987808228,0.7927934527397156,1.153417706489563,1.3830610513687134,1.7611011266708374
8,0.5927227735519409,0.8209834694862366,1.177584171295166,1.4159239530563354,1.7997156381607056
9,0.6064300537109375,0.8400458693504333,1.222206950187683,1.4698728322982788,1.8674455881118774
10,0.5840850472450256,0.8069202303886414,1.1633795499801636,1.4078413248062134,1.792669415473938
11,0.5953792333602905,0.8232513666152954,1.1783866882324219,1.411849856376648,1.7999557256698608
12,0.5988990664482117,0.832098126411438,1.2069153785705566,1.447663426399231,1.8589648008346558
13,0.5952233076095581,0.8171057105064392,1.1802191734313965,1.4124480485916138,1.8102219104766846
14,0.6010732650756836,0.832099437713623,1.2005654573440552,1.472017526626587,1.9084618091583252
15,0.5839253067970276,0.8088619709014893,1.169273853302002,1.4364491701126099,1.8560048341751099
16,0.5986514687538147,0.8230304718017578,1.1794894933700562,1.440063714981079,1.8604724407196045
17,0.5923106670379639,0.8178542852401733,1.1791495084762573,1.4562619924545288,1.8786410093307495
18,0.589832067489624,0.8130685687065125,1.1688005924224854,1.4451230764389038,1.8825478553771973
19,0.5976006388664246,0.8177129626274109,1.1764110326766968,1.4411078691482544,1.8765590190887451
20,0.5848608613014221,0.8076021075248718,1.1537362337112427,1.4245585203170776,1.8685210943222046
21,0.5895732045173645,0.804691731929779,1.159580111503601,1.435132622718811,1.875523328781128
22,0.5951396822929382,0.8232586979866028,1.1882354021072388,1.4860297441482544,1.9572614431381226
23,0.5972844362258911,0.8240556716918945,1.1936053037643433,1.4996225833892822,1.969505786895752
24,0.5842728018760681,0.7996180653572083,1.1519720554351807,1.4377269744873047,1.9034898281097412
25,0.5920789241790771,0.8124233484268188,1.1565996408462524,1.4518673419952393,1.9156237840652466
26,0.611243724822998,0.8440895080566406,1.2225834131240845,1.5409215688705444,2.0514063835144043
27,0.6100971698760986,0.8376902341842651,1.1994096040725708,1.5061949491500854,1.9971107244491577
28,0.592173159122467,0.82059246301651,1.1828632354736328,1.5078836679458618,2.021674156188965
29,0.5943020582199097,0.8124183416366577,1.174720048904419,1.4864513874053955,1.9931855201721191
30,0.5623399019241333,0.7658939957618713,1.1062148809432983,1.3981189727783203,1.8655095100402832
31,0.6063768863677979,0.8236392140388489,1.1749731302261353,1.4922704696655273,1.9903708696365356
32,0.5959793925285339,0.8209520578384399,1.1895509958267212,1.5050971508026123,2.030928373336792
33,0.5894768238067627,0.8037838935852051,1.165802240371704,1.4939098358154297,2.01206374168396
34,0.5943812131881714,0.8106252551078796,1.175176739692688,1.503055214881897,2.033618211746216
35,0.5813890695571899,0.805413544178009,1.16800856590271,1.4882062673568726,2.020895004272461
36,0.5977267026901245,0.8166950345039368,1.1701875925064087,1.5064467191696167,2.0272367000579834
37,0.590957760810852,0.8108704686164856,1.1783055067062378,1.516643762588501,2.0653674602508545
38,0.6160382032394409,0.8477709293365479,1.2355941534042358,1.590014100074768,2.1718878746032715
39,0.6231183409690857,0.8570513725280762,1.2574723958969116,1.609069585800171,2.2011208534240723
40,0.5783795714378357,0.7871323227882385,1.1498091220855713,1.4769482612609863,2.024561643600464
41,0.5969232320785522,0.8211033344268799,1.1828452348709106,1.5299280881881714,2.1096107959747314
42,0.6095656752586365,0.8364748954772949,1.2151511907577515,1.5801787376403809,2.18562912940979
43,0.6045225262641907,0.8297353982925415,1.205358624458313,1.5703954696655273,2.1686222553253174
44,0.6392234563827515,0.8807654976844788,1.2895570993423462,1.6721413135528564,2.316643476486206
45,0.5825067162513733,0.8054912090301514,1.1776916980743408,1.5299625396728516,2.1255013942718506
46,0.5952597260475159,0.8191836476325989,1.1972988843917847,1.575608491897583,2.186662435531616
47,0.587274432182312,0.8106653094291687,1.1876332759857178,1.5560098886489868,2.164644718170166
48,0.6221127510070801,0.8570418953895569,1.2395943403244019,1.619589924812317,2.2500057220458984
49,0.6094859838485718,0.8388411402702332,1.2163825035095215,1.6053388118743896,2.245809555053711
