epoch,layer_1,layer_2,layer_3,layer_4,layer_5
0,0.4101698100566864,0.5709254145622253,0.740018367767334,1.0153335332870483,1.2705696821212769
1,0.4429049491882324,0.6027883887290955,0.8014793992042542,1.065933346748352,1.3310046195983887
2,0.43714532256126404,0.6143550276756287,0.7898252606391907,1.0938820838928223,1.3861247301101685
3,0.453866571187973,0.6167251467704773,0.8132925629615784,1.0998950004577637,1.3759886026382446
4,0.438383549451828,0.6009342074394226,0.7960131168365479,1.0897573232650757,1.3705209493637085
5,0.4425669014453888,0.6092212796211243,0.8084981441497803,1.1133604049682617,1.4072664976119995
6,0.4475592076778412,0.6046000719070435,0.8066193461418152,1.1058083772659302,1.4016116857528687
7,0.44641950726509094,0.6087393164634705,0.8078669905662537,1.1207590103149414,1.4323182106018066
8,0.46842291951179504,0.6262052059173584,0.8366569876670837,1.1448169946670532,1.4522795677185059
9,0.47118115425109863,0.6454532742500305,0.8499396443367004,1.185214638710022,1.5236735343933105
10,0.4582937955856323,0.6253926157951355,0.819535493850708,1.143343448638916,1.4750851392745972
11,0.46602094173431396,0.6248483657836914,0.8386003971099854,1.1521199941635132,1.470522403717041
12,0.4753613770008087,0.6326074004173279,0.8599585890769958,1.2061060667037964,1.5245822668075562
13,0.4667303264141083,0.6135477423667908,0.8390631079673767,1.1576887369155884,1.4748080968856812
14,0.47511640191078186,0.6478948593139648,0.8592846989631653,1.2295913696289062,1.5948735475540161
15,0.4550248682498932,0.6174112558364868,0.8221664428710938,1.1665033102035522,1.5144599676132202
16,0.4705812931060791,0.6271919012069702,0.8478267192840576,1.185681939125061,1.5452748537063599
17,0.4666611850261688,0.6286784410476685,0.8393042087554932,1.194376826286316,1.5516337156295776
18,0.45872917771339417,0.6275051236152649,0.8373122215270996,1.1926345825195312,1.5700793266296387
19,0.4677949845790863,0.6173334717750549,0.8403334617614746,1.186836838722229,1.5354670286178589
20,0.4537378251552582,0.6065635681152344,0.8196818828582764,1.1772140264511108,1.540026068687439
21,0.46073904633522034,0.6139053702354431,0.8292117118835449,1.1844559907913208,1.5509346723556519
22,0.4654971659183502,0.6245126128196716,0.8452761173248291,1.2226641178131104,1.5970135927200317
23,0.4662620723247528,0.629813015460968,0.836265504360199,1.2213417291641235,1.6006189584732056
24,0.4537745416164398,0.606041431427002,0.8267247080802917,1.2056070566177368,1.5800467729568481
25,0.46474018692970276,0.619861364364624,0.8244959712028503,1.1921042203903198,1.576468586921692
26,0.4797084331512451,0.6467490792274475,0.8736878037452698,1.2811607122421265,1.704000473022461
27,0.47800520062446594,0.6322491765022278,0.8642110824584961,1.2562060356140137,1.6473993062973022
28,0.46803057193756104,0.6309295296669006,0.8547368049621582,1.265847086906433,1.6830824613571167
29,0.4668416976928711,0.6219139695167542,0.8456534743309021,1.2411218881607056,1.6414929628372192
30,0.4367870092391968,0.5775749087333679,0.7929267883300781,1.165171504020691,1.5373116731643677
31,0.47491464018821716,0.6182326078414917,0.8398727774620056,1.2205544710159302,1.6127949953079224
32,0.4698270261287689,0.6233084797859192,0.8554255366325378,1.260483741760254,1.6811466217041016
33,0.46518054604530334,0.6268405318260193,0.8435099720954895,1.2497787475585938,1.6907219886779785
34,0.4663727283477783,0.62885981798172,0.8465737700462341,1.259440541267395,1.6992202997207642
35,0.458813339471817,0.6168187856674194,0.839231014251709,1.2478848695755005,1.6756659746170044
36,0.4637107849121094,0.6156843304634094,0.8407241702079773,1.2375630140304565,1.6601310968399048
37,0.4664982557296753,0.6177672743797302,0.8505824208259583,1.2627438306808472,1.7007580995559692
38,0.4938277006149292,0.6636320948600769,0.9167184233665466,1.3633073568344116,1.8348346948623657
39,0.48791852593421936,0.6479132175445557,0.9045639634132385,1.3451043367385864,1.7974042892456055
40,0.4540318548679352,0.6028569936752319,0.8357059359550476,1.245819091796875,1.6754302978515625
41,0.47177767753601074,0.6311344504356384,0.862223207950592,1.2847126722335815,1.7584642171859741
42,0.4795551300048828,0.6444404125213623,0.8748092651367188,1.3187087774276733,1.813624382019043
43,0.4758489429950714,0.6370810866355896,0.8749030232429504,1.3304067850112915,1.8272929191589355
44,0.5024474859237671,0.6695583462715149,0.9386205077171326,1.4193493127822876,1.9243770837783813
45,0.4590884745121002,0.6238014698028564,0.8626642227172852,1.3089770078659058,1.7807527780532837
46,0.46720072627067566,0.634501039981842,0.8737829327583313,1.3387783765792847,1.8497742414474487
47,0.46489039063453674,0.619539201259613,0.8644399046897888,1.3138426542282104,1.8010774850845337
48,0.48822733759880066,0.6544301509857178,0.9025325179100037,1.3620160818099976,1.864371418952942
49,0.48028120398521423,0.6409477591514587,0.8825963139533997,1.3417549133300781,1.8645691871643066
